BOUNCE,,,,,,,,,,,,,,,,,,
Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
Almost,0.503937005996704,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Amoeba,0.503906011581421,0,0,0,0,0,0.640625,0,0,0,0,0,0,0,0,0,0,0
Banjo Plunk,0.503937005996704,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Binary,0.503906011581421,0,0,0,0.820312023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Blast,0.370234131813049,0,0,0,0,0,0.640625,0,0,0,0,0,0,0,0,0,0,0
Blip,0.503937005996704,0,0,0,0.789062023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Chopstik,0.503937005996704,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Clavi,0,0,0,0,0.779843747615814,0,0,0,0,0,0,0,0,0,0,0,0,0
Clunk,0.503937005996704,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipper,0.503937005996704,0,0,0,0.789062023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Diver,0.503937005996704,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ejecta,0.503937005996704,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Flap,0.503937005996704,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fum Grinder,0.503937005996704,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fum Rise,0.503937005996704,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Girder,0.503937005996704,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Impact,0.503937005996704,0,0,0,0.789062023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Nova,0.503906011581421,0,0,0,0.820312023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Quake,0.503937005996704,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Stand,0.503906011581421,0,0,0,0.820312023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Sting Damped,0.503937005996704,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sting Fungur,0.503937005996704,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ting,0.503937005996704,0,0,0,0.789062023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunnel,0.503937005996704,0,0,0,0.789062023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Up Rite,0.503937005996704,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wheezy Reed,0.503937005996704,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Xmod,0.293718755245209,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zitherene,0.503937005996704,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
