CUTOFF,,,,,,,,,,,,,,,,,,
Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
12th Fret,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Acrylic,0.346457004547119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Air Bubble,0.235439017415047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Almost,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Asphalt,0.586203098297119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Banjo Plunk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Beam,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Bitz,0.580188989639282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Bizzee,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726562023162842,0
BlackIce,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Blip,0.72265625,0,0,0,0,0,0,0,0,0,-0.40625,0,0,0,0,1,0.310812503099441,0.431593745946884
Bowed Bass,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Bright Pick,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bump,0.324359387159347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Bumper,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Busy Fizz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
BuzzSquare,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Catalyst,0.35326561331749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.168687492609024,0.276906251907349
Chopstik,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Clavi,1,0,0,0,0,0,0,0,0,0,-0.40625,0,0,0,0,0.703125,0,0
Clean Oh,0.723359346389771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Clunk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Comet,0.48818901181221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Cosm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Crystal,0.661328077316284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dark Sunrise,0.22154837846756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Deep,0.408640623092651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Demand,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.559968769550324,0.522687494754791
Destroyer,0.465843737125397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Dinge,0.897501528263092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Dipper,1,0,0,0,0,0,0,0,0,0,-0.40625,0,0,0,0,0.703125,0,0
Distance,0.574031233787537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Distorter,0.552188992500305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Diver,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Drive,0.748234391212463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Dummy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Dusty Bass,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Dwarf,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Edgy Voice,0.584687471389771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
EightyFour,0.48818901181221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Ejecta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Extinction,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Faded,0.53676563501358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Fazer,0.552188992500305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Fazors,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Feds,0.564626514911652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Fierce,0.800253868103027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0.451531261205673,0.495218753814697
Fitness,0.571345269680023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Flap,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fum Grinder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fum Rise,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Funkule,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Fuzz Dub,0.699999988079071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Giant,0.191657781600952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Girder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Glo Bass,0.391999989748001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Gravity,0.591000258922577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Green,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Grotto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726562023162842,0
HarmoFuzz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Harmon,0.552188992500305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
High Fuzz,0.391999989748001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Hoard,0.141732007265091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.695312023162842,0,0
Hollow,0.482656270265579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Impact,1,0,0,0,0,0,0,0,0,0,-0.40625,0,0,0,0,0.703125,0,0
LFO Robot,0.691765606403351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Lanes,0.053234376013279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Lemon,0.733360886573792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Long 808,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Low Hum,0.682975053787231,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
LowDuh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Lower,0.63043749332428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Lurker,0.161531239748001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Mariana,0.48818901181221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
MoodFood,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Moon,0.707669496536255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.695312023162842,0,0
MotherShip,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Mumbler,0.552188992500305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Natural One,0.391999989748001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Noisy,0.465828120708466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.695312023162842,0,0
Nth Degree,0.391999989748001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Octavo,0.465828120708466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.695312023162842,0,0
Ocular,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Orange,0.897501528263092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Overtoner,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
PFunker,0.552188992500305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Palm Distortion,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Palm Fuzz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Palm Pick,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Palm Reader,0.797142148017883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Patched,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Picked,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Plume,0.48818901181221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Pole,0.488499999046326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Popsicle,0.897501528263092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Prey,0.496093988418579,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
Purple,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Purr,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Quake,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RandoMod,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Razzz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Sci Fi Bass,0.463656216859818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
Seeker,0.897501528263092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
