DAMPEN,,,,,,,,,,,,,,,,,,
Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
12th Fret,0.94174998998642,0,0,0,0,0,0,0,0,0,0,0,0.785343766212463,0.609375,0,0.705781221389771,0,0
Bright Pick,0.569718718528748,0,0,0,0,0,0,0,0,0,0,0,0.785343766212463,0.609375,0,0.705781221389771,0,0
Low Hum,0.569718718528748,0,0,0,0,0,0,0,0,0,0,0,0.785343766212463,0.609375,2,0,0,0
Palm Distortion,0.569718718528748,0,0,0,0,0,0,0,0,0,0,0,0.785343766212463,0.609375,0,0.705781221389771,0,0
Palm Fuzz,0.569718718528748,0,0,0,0,0,0,0,0,0,0,0,0.785343766212463,0.609375,0,0.705781221389771,0,0
Palm Pick,0.569718718528748,0,0,0,0,0,0,0,0,0,0,0,0.785343766212463,0.609375,0,0.705781221389771,0,0
Picked,0.629781246185303,0,0,0,0,0,0,0,0,0,0,0,0.785343766212463,0.609375,0,0.705781221389771,0,0
Slappp,0.489343762397766,0,0,0,0,0,0,0,0,0,0,0,0.785343766212463,0.609375,0,0.705781221389771,0,0
Smooth,0.473703145980835,0,0,0,0,0,0,0,0,0,0,0,0.785343766212463,0.609375,0,0.705781221389771,0,0
Superbuzz,0.569718718528748,0,0,0,0,0,0,0,0,0,0,0,0.785343766212463,0.609375,0,0.705781221389771,0,0
Superfuzz,0.569718718528748,0,0,0,0,0,0,0,0,0,0,0,0.785343766212463,0.609375,0,0.705781221389771,0,0
Superlow,0.569718718528748,0,0,0,0,0,0,0,0,0,0,0,0.785343766212463,0.609375,0,0.705781221389771,0,0
