DECAY,,,,,,,,,,,,,,,,,,
Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
Acrylic,0.692912995815277,0,0,0,0,0,0,0.578125,0,0.648437976837158,0,0,0.609375,0.609375,0,0,0,0
Air Bubble,0.262288004159927,0,0,0,0,0,0,0.578125,0,0.648437976837158,0,0,0.609375,0.609375,0,0,0,0
Almost,0.503937005996704,0,0,0,0,0,0,0,0,0,0,1,0.367188006639481,0.359375,0,0,0,0
Amoeba,0.503937005996704,0,0,0,0,0,0,0,0,0.632812023162842,0,0,0,0.609375,0,0,0,0
Asphalt,0.692912995815277,0,0,0,0,0,0,0.578125,0,0.648437976837158,0,0,0.609375,0.609375,0,0,0,0
Banjo Plunk,0.503937005996704,0,0,0,0,0,0,0,0,0,0,1,0.367188006639481,0.359375,0,0,0,0
Beam,1,0,0,0,0,0,0,0.578125,0,0.648437976837158,0,1,0.609375,0.609375,0,0,0,0
Binary,0.503937005996704,0,0,0,0,0,0,0,0,0,0,1,0.367188006639481,0.359375,0,0,0,0
Bitz,0.876913011074066,0,0,0,0,0,0,0.578125,0,0.648437976837158,0,0,0.609375,0.609375,0,0,0,0
Bizzee,0.501506984233856,0,0,0,0,0,0,0.578125,0,0.648437976837158,0,0,0.609375,0.609375,0,0,0,0
BlackIce,0.684913039207459,0,0,0,0,0,0,0.578125,0,0.648437976837158,0,0,0.609375,0.609375,0,0,0,0
Blast,0.376593261957169,0,0,0,0,0,0,0,0,0.632812023162842,0,0,0,0.609375,0,0,0,0
Blip,0.483328133821487,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0.617187976837158,0,0,0,0
Bump,0.825593769550324,0,0,0,0,0,0,0.578125,0,0.648437976837158,0,0,0.609375,0.609375,0,0,0,0
Bumper,0.525067985057831,0,0,0,0,0,0,0.578125,0,0.648437976837158,0,0,0.609375,0.609375,0,0,0,0
Busy Fizz,0.850187540054321,0,0,0,0,0,0,0.578125,0,0.648437976837158,0,0,0.609375,0.609375,0,0,0,0
BuzzSquare,0.684913039207459,0,0,0,0,0,0,0.578125,0,0.648437976837158,0,0,0.609375,0.609375,0,0,0,0
Catalyst,0.49745312333107,0,0,0,0,0,0,0.578125,0,0.648437976837158,0,0,0.609375,0.609375,0,0,0,0
Chopstik,0.503937005996704,0,0,0,0,0,0,0,0,0,0,1,0.367188006639481,0.359375,0,0,0,0
Clavi,0.8046875,0,0,0,0,0,0,0,0,0,0,0,0.62653124332428,0.619437515735626,0,0,0,0
Clean Oh,0.692912995815277,0,0,0,0,0,0,0.578125,0,0.648437976837158,0,0,0.609375,0.609375,0,0,0,0
Clunk,0.503937005996704,0,0,0,0,0,0,0,0,0,0,1,0.367188006639481,0.359375,0,0,0,0
Comet,0.692912995815277,0,0,0,0,0,0,0.578125,0,0.648437976837158,0,0,0.609375,0.609375,0,0,0,0
Cosm,1,0,0,0,0,0,0,0.578125,0,0.648437976837158,0,1,0.609375,0.609375,0,0,0,0
Crystal,0.488328129053116,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0
Dark Sunrise,1,0,0,0,0,0,0,1,0,0.781937479972839,0,0,1,0.80434376001358,0,0,0,0
Deep,0.513609349727631,0,0,0,0,0,0,0.578125,0,0.648437976837158,0,0,0.609375,0.609375,0,0,0,0
Destroyed,0.230953127145767,0,0,0,0,0,0.298562496900559,0.907843768596649,0,0.979875504970551,0,0,1,1,2,0,0,0
Destroyer,0.501506984233856,0,0,0,0,0,0,0.578125,0,0.648437976837158,0,0,0.609375,0.609375,0,0,0,0
Dinge,1,0,0,0,0,0,0,0.578125,0,0.648437976837158,0,0,0.609375,0.609375,0,0,0,0
Dipper,0.496062994003296,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0.617187976837158,0,0,0,0
Distance,0.34196874499321,0,0,0,0,0,0,0.578125,0,0.648437976837158,0,0,0.609375,1,0,0,0,0
