OCTAVE,,,,,,,,,,,,,,,,,,
Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
12th Fret,0.48818901181221,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acrylic,0.501568973064423,0,0,0.710937976837158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air Bubble,0.48818901181221,0,0,0.710937976837158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Almost,0.511718988418579,0,0,0.773437976837158,0,0,0,0,0,0,0,0,0,0.664062023162842,0,0,0,0
Amoeba,0.49651512503624,0,0,0.617187976837158,0,0,0,0,0,0,0,0,0,0.664062023162842,0,0,0,0
Asphalt,0.48818901181221,0,0,0.710937976837158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banjo Plunk,0.511718988418579,0,0,0.773437976837158,0,0,0,0,0,0,0,0,0,0.664062023162842,0,0,0,0
Beam,0.531023740768433,0,0,0.710937976837158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Binary,0.492188006639481,0,0,0.773437976837158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bitz,0.48818901181221,0,0,0.710937976837158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizzee,0.33647683262825,0,0,0.710937976837158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BlackIce,0.504189014434814,0,0,0.710937976837158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blast,0.503937005996704,0,0,0.617187976837158,0,0,0,0,0,0,0,0,0,0.664062023162842,0,0,0,0
Blip,0.275764137506485,0,0,0.943750023841858,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bowed Bass,0.502648711204529,0,0,0.710937976837158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bright Pick,0.48818901181221,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bump,0.505735874176025,0,0,0.710937976837158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bumper,0.515625,0,0,0.710937976837158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Busy Fizz,0.501968741416931,0,0,0.710937976837158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BuzzSquare,0.496188998222351,0,0,0.710937976837158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catalyst,0.131564006209374,0,0,0.710937976837158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chopstik,0.511718988418579,0,0,0.773437976837158,0,0,0,0,0,0,0,0,0,0.664062023162842,0,0,0,0
Clavi,0.50628125667572,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clean Oh,0.48818901181221,0,0,0.710937976837158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clunk,0.511718988418579,0,0,0.773437976837158,0,0,0,0,0,0,0,0,0,0.664062023162842,0,0,0,0
Comet,0.48818901181221,0,0,0.710937976837158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cosm,0.531023740768433,0,0,0.710937976837158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal,0.195110872387886,0,0,0.671875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
