REVERB,,,,,,,,,,,,,,,,,,
Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
12th Fret,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Acrylic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Air Bubble,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Almost,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Amoeba,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Asphalt,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Banjo Plunk,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Beam,0.147937506437302,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Binary,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bitz,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bizzee,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BlackIce,0.407999992370606,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Blast,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Blip,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bowed Bass,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bright Pick,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bump,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bumper,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Busy Fizz,0.085921876132488,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BuzzSquare,0.412000000476837,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Catalyst,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chopstik,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Clavi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Clean Oh,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Clunk,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Comet,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cosm,0.159171879291534,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Crystal,0.403578132390976,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dark Sunrise,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Deep,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Demand,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Destroyed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
Destroyer,0.322812497615814,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dinge,0.095390625298023,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dipper,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Distance,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Distorter,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Diver,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Drive,0.091937497258186,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dummy,0.051984373480082,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dusty Bass,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dwarf,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Edgy Voice,0.186906263232231,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EightyFour,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ejecta,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Extinction,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Faded,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fazer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fazors,0.412000000476837,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Feds,0.087687499821186,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fierce,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fitness,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Flap,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fum Grinder,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fum Rise,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Funkule,0.407999992370606,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuzz Dub,0.407999992370606,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Giant,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Girder,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Glo Bass,0.419999986886978,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gravity,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Green,0.094546876847744,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Grotto,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HarmoFuzz,0.136000007390976,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Harmon,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
High Fuzz,0.255999982357025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hoard,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hollow,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Impact,0.000968749984168,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LFO Robot,0.197296872735024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lanes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lemon,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Long 808,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Low Hum,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
LowDuh,0.412000000476837,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lower,0.068796873092651,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lurker,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
