SHAPE,,,,,,,,,,,,,,,,,,
Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
Acrylic,0.897638022899628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726562023162842,0
Air Bubble,0.892606854438782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Almost,0.496062994003296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Amoeba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
Asphalt,0.519684970378876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726562023162842,0
Banjo Plunk,0.496062994003296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Beam,0.496703118085861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726562023162842,0
Bitz,0.451684981584549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726562023162842,0
Bizzee,0.259842991828918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867187976837158,0,0
BlackIce,0.46000000834465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726562023162842,0
Blast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
Bowed Bass,0.520656228065491,0,0,0,0,0,0.277437508106232,0.403156250715256,0.572343766689301,0.372968763113022,0,0,0,0,0,0,0.726562023162842,0
Bump,0.672781229019165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bumper,0.508211970329285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726562023162842,0
Busy Fizz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726562023162842,0
BuzzSquare,0.46000000834465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726562023162842,0
Catalyst,0.499372482299805,0,0,0,0,0,0.831906259059906,0.928937494754791,1,0.365937501192093,0,1,1,1,0,0,0.430124998092651,0.664343774318695
Chopstik,0.496062994003296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Clean Oh,0.519684970378876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726562023162842,0
Clunk,0.496062994003296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Comet,0.519684970378876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726562023162842,0
Cosm,0.482796877622604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726562023162842,0
Crystal,0.502875447273254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.507155776023865,0.747468709945679,0.552093744277954
Dark Sunrise,0.741716206073761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Deep,0.722622454166412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726562023162842,0
Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Destroyed,0.897638022899628,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.726562023162842,0
Destroyer,0.211093753576279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726562023162842,0
Dinge,0.519684970378876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726562023162842,0
Distance,0.519684970378876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726562023162842,0
Distorter,0.451684981584549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726562023162842,0
Diver,0.496062994003296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Drive,0.651731848716736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726562023162842,0
Dummy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726562023162842,0
Dusty Bass,0.211093753576279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726562023162842,0
Dwarf,0.508211970329285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726562023162842,0
Edgy Voice,0.287109375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726562023162842,0
EightyFour,0.519684970378876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726562023162842,0
Ejecta,0.496062994003296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Extinction,0.508211970329285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726562023162842,0
Faded,0.804466247558594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fazer,0.451684981584549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726562023162842,0
Fazors,0.46000000834465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726562023162842,0
