BOUNCE,,,,,,,,,,,,,,,,,,
Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
Acoustic Hip Hop,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Acoustic Jazz,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Amethyst,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Arid,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Assemblage,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Azure,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
B170,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0
Bits,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Boom,0.498906254768372,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Brain,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Bubblewrap,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Buuo,0,0,-0.351968735456467,0,-0.419031262397766,0,-0.003031250089407,0,0,0,0,0,0,-1,0,0,0,0
Caro Whack,0.847140610218048,0,0,0.527187526226044,0.433062493801117,-0.016062499955297,0,0,0,0,0.006562499795109,0,0,0,0,0,0,0
Cerulean,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaos,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Chartreuse,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Chips,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Chops,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Cinematic Drums,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Classic House,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Crimson,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Curiosity,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Doop,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Dusk,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Emerald,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Feep,1,0,1,0,0.976562023162842,0,0,0,0,0,0,0,0,1,0,0,0,0
Fiin,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0
Final Hour,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Flexghost,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Flowspeed,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Foal,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Grime,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Grits,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Halocut,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Hand Perc,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Hybrid Cine,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Immanence,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Iris,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Joop,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0
Junk Food,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Kettle Hits,0.494843751192093,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Klonks,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
LoFi HipHop,0.5,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
