ENVELOPES,,,,,,,,,,,,,,,,,,
Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
B170,0.502734303474426,-0.001312500564381,0.004718749783933,0.002843758556992,-0.006250000093132,-0.000218760964344,-0.000718750001397,0,0,1,1,0,0,1,0,-0.000531236641109,-0.004062490537763,0.001968746073544
Buuo,0.499265611171722,0.003968749195337,0.004718749783933,0.002843758556992,-0.006250000093132,-0.000218760964344,-0.004281249828637,0,0,1,1,0,0,1,0,-0.001374986604787,0.001781259314157,-0.004125003702939
Feep,0.498656243085861,0.00081249937648,0.004718749783933,0.002843758556992,-0.006250000093132,-0.000218760964344,0.002031249925494,0,0,1,1,0,0,1,0,0.004531263373792,-0.004312490578741,0.003718746127561
Fiin,0.500124990940094,0.004281249362975,0.004718749783933,0.002843758556992,-0.006250000093132,-0.000218760964344,0.001062500057742,0,0,1,1,0,0,1,0,0.000781263341196,0.000812509271782,0.002281246241182
Haas,0.503828108310699,0.002249999437481,0.004718749783933,0.002843758556992,-0.006250000093132,-0.000218760964344,-0.018687499687076,0,0,1,1,0,0,1,0,0.000781257636845,0.002968756714836,-0.001593749970198
Joop,0.500374913215637,0.001593749388121,0.004718749783933,0.002843758556992,-0.006250000093132,-0.000218760964344,0.000968749984168,0,0,1,1,0,0,1,0,0.003562513273209,0.000718759314623,0.00084374618018
Luum,0.504812479019165,-0.00281250057742,0.004718749783933,0.002843758556992,-0.006250000093132,-0.000218760964344,-0.001437500002794,0,0,1,1,0,0,1,0,0.003906263504177,0.004500009119511,0.003312496235594
Raaf,0.497656136751175,-0.003406249918044,0.004718749783933,0.002843758556992,-0.004843750037253,-0.000218760964344,0.003000000026077,0,0,1,1,0,0,1,0,9.37633521971293E-05,0.003218759316951,0.001156246173196
Siif,0.499265611171722,0.004562499467283,0.004718749783933,0.002843758556992,-0.006250000093132,-0.000218760964344,0.000937499979045,0,0,1,1,0,0,1,0,1.33514408418023E-08,-0.000749990693294,-0.002750003710389
Taam,0.502218723297119,-0.002687500556931,0.004718749783933,0.002843758556992,-0.006250000093132,-0.000218760964344,0.000562499975786,0,0,1,1,0,0,1,0,0.00156251329463,0.00143750931602,0.003031246131286
Uuuu,0.502843797206879,0.003843749407679,0.004718749783933,0.002843758556992,-0.006250000093132,-0.000218760964344,0.004343749955297,0,0,1,1,0,0,1,0,0.001250013359822,0.001968759344891,-0.000281253800495
Yoom,0.497437417507172,0.003124999348074,0.004718749783933,0.002843758556992,-0.006250000093132,-0.000218760964344,-0.001312499982305,0,0,1,1,0,0,1,0,0.00350001337938,0.003593759378418,-0.001531253801659
