FLOAT,,,,,,,,,,,,,,,,,,
Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
Auto,0.50356251001358,0,0.003093749983236,0.001624993048608,0,0,0.001812499947846,0,0,1,1,0,0,1,0,0.000750000006519,0.002249999903142,0.003437499981374
Circle,0.49703124165535,0,0.001406250055879,0,0.002531250007451,0,0,0,0,1,1,0,0,1,0,0,0,0
First Space,0.498031258583069,0,0.001156250014901,0,0.004218750167638,0,0,0,0,1,1,0,0,1,0,0,0,0
Fold,0.504203140735626,0,0.001593749970198,0,0.003250000067055,0,0,0,0,1,1,0,0,1,0,0,0,0
Hit,0.50356251001358,0,0.003093749983236,0.001624993048608,0,0,0.001812499947846,0,0,1,1,0,0,1,0,0.000750000006519,0.002249999903142,0.003437499981374
Non-Space,0.50356251001358,0,0.003093749983236,0.001624993048608,0,0,0.001812499947846,0,0,1,1,0,0,1,0,0.000750000006519,0.002249999903142,0.003437499981374
Orbit,0.497421860694885,0,-0.004281249828637,0,0.004812499973923,0,0,0,0,1,1,0,0,1,0,0,0,0
Second Space,0.497937500476837,0,0.000531250028871,0,-0.002749999985099,0,0,0,0,1,1,0,0,1,0,0,0,0
Sphere,0.497656255960465,0,0.004156250040978,0,0.001937499968335,0,0,0,0,1,1,0,0,1,0,0,0,0
Spiral,0.502562522888184,0,0.004812499973923,0,0.003656249959022,0,0,0,0,1,1,0,0,1,0,0,0,0
The Bubble,0.494640618562698,0,0.004562499932945,0,0.002187500009313,0,0,0,0,1,1,0,0,1,0,0,0,0
Third Space,0.49881249666214,0,0.001093750004657,0,0.000156249996508,0,0,0,0,1,1,0,0,1,0,0,0,0
Torus,0.50314062833786,0,0.001374999992549,0,0.000250000011874,0,0,0,0,1,1,0,0,1,0,0,0,0
Twin Paradox,0.500453114509583,0,0.003187499940395,0,0.001562500023283,0,0,0,0,1,1,0,0,1,0,0,0,0
Vocal,0.50356251001358,0,0.003093749983236,0.001624993048608,0,0,0.001812499947846,0,0,1,1,0,0,1,0,0.000750000006519,0.002249999903142,0.003437499981374
