LENGTH,,,,,,,,,,,,,,,,,,
Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
Acoustic Hip Hop,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Acoustic Jazz,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Air,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Amethyst,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Arid,0.699218988418579,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Assemblage,0.699218988418579,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Auto,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Avatar,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Azure,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
B170,0.779671847820282,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bits,0.699218988418579,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Boom,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Brain,0.699218988418579,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Bubblewrap,0.286850035190582,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Buuo,0.498968750238419,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Buzz,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Caro Whack,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cerulean,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Chaos,0.699218988418579,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Chartreuse,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Chat,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Chips,0.699218988418579,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Chops,0.604492664337158,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Cinematic Drums,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Circle,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Classic House,0.699218988418579,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Core,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Crimson,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Curiosity,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Data,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Doop,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Drone,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Dusk,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Emerald,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Feep,0.452984362840652,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fiin,0.779671847820282,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Final Hour,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
First Space,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Flexghost,0.699218988418579,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Flowspeed,0.699218988418579,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Foal,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fold,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Grime,0.699218988418579,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Grits,0.699218988418579,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Haas,0.496062487363815,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Halocut,0.699218988418579,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Hand Perc,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hit,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hybrid Cine,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Idiophonic,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Immanence,0.699218988418579,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Iris,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Joop,0.779671847820282,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Junk Food,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kettle Hits,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Klonks,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
LoFi HipHop,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Lucid,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Luum,0.500218689441681,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Magenta,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Mainline,0.699218988418579,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Maize,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Melodic Techno,0.699218988418579,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Meridiem,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Metal & Boom,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Midnight,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Morning,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Night Out,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Nomos,0.699218988418579,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Non-Space,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Orbit,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Organic House,0.699218988418579,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Perc Melange 1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Perc Melange 2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Plinks,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Plonks,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Raaf,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rattle & Scrape,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Refrain,0.699218988418579,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Rhizome,0.699218988418579,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Rock Pop,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Rolling,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
Rose,1,0,0,0,0,0,0,0,0,0,0,0,0,0.601562023162842,0,0,0,0
