PITCH,,,,,,,,,,,,,,,,,,
Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
Acoustic Hip Hop,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acoustic Jazz,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air,0.5,0,0,0.504343748092651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amethyst,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arid,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assemblage,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auto,0.50034373998642,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avatar,0.5,0,0,0.504343748092651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azure,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B170,0.50034373998642,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bits,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boom,0.495426803827286,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brain,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bubblewrap,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buuo,0.50034373998642,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buzz,0.5,0,0,0.504343748092651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caro Whack,0.48998436331749,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cerulean,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaos,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chartreuse,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chat,0.5,0,0,0.504343748092651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chips,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chops,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cinematic Drums,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Circle,0.50034373998642,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classic House,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Core,0.5,0,0,0.504343748092651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crimson,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curiosity,0.49329686164856,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data,0.5,0,0,0.504343748092651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doop,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drone,0.5,0,0,0.504343748092651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dusk,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emerald,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feep,0.497937500476837,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiin,0.50475001335144,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Final Hour,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First Space,0.50034373998642,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flexghost,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flowspeed,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foal,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fold,0.50034373998642,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grime,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grits,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haas,0.497937500476837,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halocut,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hand Perc,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hit,0.50034373998642,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hybrid Cine,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idiophonic,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immanence,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iris,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joop,0.50034373998642,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junk Food,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kettle Hits,0.495426803827286,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klonks,0.49329686164856,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LoFi HipHop,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucid,0.5,0,0,0.504343748092651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luum,0.497937500476837,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magenta,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mainline,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maize,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
