TWIST,,,,,,,,,,,,,,,,,,
Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
Auto,0.497656136751175,-0.003406249918044,0.004718749783933,0.246781244874,1,-0.000218760964344,1,0,0,1,-1,0,0,1,0,-1,1,-1
Circle,0.497656136751175,-0.003406249918044,0.004718749783933,0.246531262993813,1,-0.000218760964344,1,0,0,1,-1,0,0,1,0,-1,1,-1
First Space,0.497656136751175,-0.003406249918044,0.004718749783933,0.242281258106232,1,-0.000218760964344,1,0,0,1,-1,0,0,1,0,-1,1,-1
Fold,0.497656136751175,-0.003406249918044,0.004718749783933,0.24753126502037,1,-0.000218760964344,1,0,0,1,-1,0,0,1,0,-1,1,-1
Hit,0.497656136751175,-0.003406249918044,0.004718749783933,0.246781244874,1,-0.000218760964344,1,0,0,1,-1,0,0,1,0,-1,1,-1
Idiophonic,0.503281235694885,0,0,0,0.976562023162842,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-Space,0.497656136751175,-0.003406249918044,0.004718749783933,0.246781244874,1,-0.000218760964344,1,0,0,1,-1,0,0,1,0,-1,1,-1
Orbit,0.497656136751175,-0.003406249918044,0.004718749783933,0.24956251680851,1,-0.000218760964344,1,0,0,1,-1,0,0,1,0,-1,1,-1
Second Space,0.497656136751175,-0.003406249918044,0.004718749783933,0.246562510728836,1,-0.000218760964344,1,0,0,1,-1,0,0,1,0,-1,1,-1
Sphere,0.497656136751175,-0.003406249918044,0.004718749783933,0.24778126180172,-0.004843750037253,-0.000218760964344,1,0,0,1,-1,0,0,1,0,-1,1,-1
Spiral,0.497656136751175,-0.003406249918044,0.004718749783933,0.245156273245811,1,-0.000218760964344,1,0,0,1,-1,0,0,1,0,-1,1,-1
The Bubble,0.496671766042709,-0.003406249918044,0.004718749783933,0.247906252741814,1,-0.000218760964344,1,0,0,1,-1,0,0,1,0,-1,1,-1
Third Space,0.497656136751175,-0.003406249918044,0.004718749783933,0.248093768954277,1,-0.000218760964344,1,0,0,1,-1,0,0,1,0,-1,1,-1
Torus,0.497656136751175,-0.003406249918044,0.004718749783933,0.254937499761581,1,-0.000218760964344,1,0,0,1,-1,0,0,1,0,-1,1,-1
Twin Paradox,0.497656136751175,-1,0.004718749783933,0.245968759059906,1,-0.000218760964344,1,0,0,1,-1,0,0,1,0,-1,1,1
Vocal,0.497656136751175,-0.003406249918044,0.004718749783933,0.246781244874,1,-0.000218760964344,1,0,0,1,-1,0,0,1,0,-1,1,-1
