Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
2pan,0.2370000034570694,0,0,0,0,0,0.78125,0,0,0,0.5390620231628418,0,0,0,1,0,0,0
Admosphear,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Aerpluck,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Angels,0.3603124916553497,0,0,0,0,0,0.78125,0,0,0,0.5390620231628418,0,0,0,0,0,0,0
Approach,1,0,0,0,0,0,0.6328120231628418,0,0,0,1,0,0,0,0,0,0,0
Aprequiema,0.4061406254768372,0.05459374934434891,0,0,0,0,1,-0.2921562492847443,0,0,1,0,-0.06678125262260437,0.005937499925494194,0,-0.3881250023841858,0.6309062242507935,0
Ascender,0.3203119933605194,0,0,0,0,0,0.6328120231628418,0,0,0,0.6328120231628418,0,0,0,0,0,0,0
Balaphonic,0,0,0,0,0,0,0.78125,0,0,0,0.5390620231628418,0,0,0,0,0,0,0
Bali,0.01999999955296516,0,0,0,0,0,0.6328120231628418,0,0,0,0.6328120231628418,0,0,0,0,0,0,0
Barred,0.2269999980926514,0,0,0,0,0,0.6328120231628418,0,0,0,0.6328120231628418,0,0,0,0,0,0,0
BarryPluck,0,0,0,0,0,0,0.78125,0,0,0,0.5390620231628418,0,0,0,0,0,0,0
Bee,0.2700937390327454,0,0,0,0,0,0.4602192640304565,0.02300000004470348,0,0.004811993334442377,1,0.01274999976158142,-0.004530773032456636,-0.00359375006519258,0,0,0,0
Bee Organ,0.3603124916553497,0,0,0,0,0,0.78125,0,0,0,0.5390620231628418,0,0,0,0,0,0,0
Begin,0.6375073790550232,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Bell,0.3203119933605194,0,0,0,0,0,0.6328120231628418,0,0,0,0.6328120231628418,0,0,0,0,0,0,0
Belluron,0.3203119933605194,0,0,0,0,0,0.6328120231628418,0,0,0,0.6328120231628418,0,0,0,0,0,0,0
Boudystreik,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Bow,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Boxer,0.08399999886751175,0,0,0,0,0,0.6328120231628418,0,0,0,0.6328120231628418,0,0,0,0,0,0,0
Breathe,1,0,0,0,0,0,0.4602192640304565,0.02300000004470348,0,0.004811993334442377,1,0.01274999976158142,-0.004530773032456636,-0.00359375006519258,0,0,0,0
Broken,0.1587031334638596,0,0,0,0,0,0.4602192640304565,0.02300000004470348,0,0.004811993334442377,1,0.01274999976158142,-0.004530773032456636,-0.00359375006519258,0,0,0,0
Celli Flautando,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cello Creak,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chaser,0.2947031259536743,0,0,0,0,0,0.6328120231628418,0,0,0,0.6328120231628418,0,0,0,0,0,0,0
Christa,0.410093754529953,0,0,0,0,0,1,0,0,0,0.9825624823570251,0,0,0,0,0,0,0
Cine Choir,0.1260624974966049,0,0,0,0,0,0.6328120231628418,0,0,0,1,0,0,0,0,0,0,0
Cine Flute,0,0,0,0,0,0,0.6328120231628418,0,0,0,0.6328120231628418,0,0,0,0,0,0,0
Circuit Dust,0,0,0,0,0,0,0,0,0,0,0.4453119933605194,0,0,0,0,0,0,0
Clean,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Clear,0.1822031289339066,0,0,0,0,0,0.4602192640304565,0.02300000004470348,0,0.004811993334442377,1,0.01274999976158142,-0.004530773032456636,-0.00359375006519258,0,0,0,0
Clunnn,0,0.1484380066394806,0,0,0,0,0,0,0,0,0.3359380066394806,0,0,0,2,0,0,0
