Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
Accretion,0.5,0,0,0,0.640625,0,0,0,0,0,0,0,0,0,0,0,0,0
Admosphear,0.498171865940094,0,0,0,0.640625,0,0,0,0,0,0,0,0,0,0,0,0,0
Aerpluck,0.498171865940094,0,0,0,0.640625,0,0,0,0,0,0,0,0,0,0,0,0,0
Approach,0.4817812442779541,0,0,0,0.1133124902844429,0,0,0.005750000011175871,0.2790625095367432,-0.4635937511920929,0,0,0,0,0,0,0,0
Ascender,0.5022656321525574,0,0,0,0.640625,0,0,0,0,0,0,0,0,0,0,0,0,0
Bali,0.5,0,0,0,0.640625,0,0,0,0,0,0,0,0,0,0,0,0,0
Begin,0.498171865940094,0,0,0,0.640625,0,0,0,0,0,0,0,0,0,0,0,0,0
Bell,0.5,0,0,0,0.640625,0,0,0,0,0,0,0,0,0,0,0,0,0
Belluron,0.5022656321525574,0,0,0,0.640625,0,0,0,0,0,0,0,0,0,0,0,0,0
Boudystreik,0.498171865940094,0,0,0,0.640625,0,0,0,0,0,0,0,0,0,0,0,0,0
Bow,0.498171865940094,0,0,0,0.640625,0,0,0,0,0,0,0,0,0,0,0,0,0
Boxer,0.4959999918937683,0,0,0,0.640625,0,0,0,0,0,0,0,0,0,0,0,0,0
Bubble,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cine Choir,0.4979196786880493,0,0,0,0.06131250038743019,0,0,0,0,0,0,0,0,0,0,0,0,0
Cine Flute,0.4980156123638153,0,0,0,0.640625,0,0,0,0,0,0,0,0,0,0,0,0,0
Circuit Dust,0.5,0,0,0,0.484375,0,0,0,0,0,0,0,0,0,0,0,0,0
Clean,0.498171865940094,0,0,0,0.640625,0,0,0,0,0,0,0,0,0,0,0,0,0
Clunnn,0.5,0,0,0,0.59375,0,0,0,0,0,0,0,0,0,2,0,0,0
Coins,0.5022656321525574,0,0,0,0.640625,0,0,0,0,0,0,0,0,0,0,0,0,0
Cruth,0.5022656321525574,0,0,0,0.640625,0,0,0,0,0,0,0,0,0,0,0,0,0
Darpa,0.5,0,0,0,0.640625,0,0,0,0,0,0,0,0,0,0,0,0,0
Dead Stringer,0.5,0,0,0,0.484375,0,0,0,0,0,0,0,0,0,0,0,0,0
Dispersal,0.5,0,0,0,0.484375,0,0,0,0,0,0,0,0,0,0,0,0,0
Down,0.5,0,0,0,0.640625,0,0,0,0,0,0,0,0,0,0,0,0,0
Dream,0.5,0,0,0,0.484375,0,0,0,0,0,0,0,0,0,0,0,0,0
Dreamkiss,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
Drone Zone,0.5,0,0,0,0.484375,0,0,0,0,0,0,0,0,0,0,0,0,0
Drop,0.498171865940094,0,0,0,0.640625,0,0,0,0,0,0,0,0,0,0,0,0,0
Eardrop,0.5,0,0,0,0.640625,0,0,0,0,0,0,0,0,0,0,0,0,0
Flutter,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
Fury Drone,0.5,0,0,0,0.640625,0,0,0,0,0,0,0,0,0,0,0,0,0
Gather,0.4928593933582306,0,0,0,0.640625,0,0,0,0,0,0,0,0,0,0,0,0,0
Gnomes,0.4996406137943268,0,0,0,0.640625,0,0,0,0,0,0,0,0,0,0,0,0,0
Grainy,0.5022656321525574,0,0,0,0.640625,0,0,0,0,0,0,0,0,0,0,0,0,0
Growl,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Harmonix,0.498171865940094,0,0,0,0.640625,0,0,0,0,0,0,0,0,0,0,0,0,0
Harpoon,0.5,0,0,0,0.640625,0,0,0,0,0,0,0,0,0,0,0,0,0
Heaven Sent,0.5,0,0,0,0.484375,0,0,0,0,0,0,0,0,0,0,0,0,0
