Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
2pan,0.2501562535762787,0,0,0,0,0,0,0.625,0,0.6640620231628418,0,0,0.6171879768371582,0.65625,1,0,0,0
Accretion,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0
Admosphear,0.4994687438011169,0,0,0,0,0,0,0.5,0,0.53125,0,0,0.5546879768371582,0.5859379768371582,0,0,0,0
Aerpluck,0.4994687438011169,0,0,0,0,0,0,0.5,0,0.53125,0,0,0.5546879768371582,0.5859379768371582,0,0,0,0
Angels,0.4198749959468842,0,0,0,0,0,0,0.625,0,0.6640620231628418,0,0,0.6171879768371582,0.65625,0,0,0,0
Approach,1,0,0,0,0,0,0,0.5,0,0.53125,0,0,0.5546879768371582,0.5859379768371582,0,0,0,0
Aprequiema,0.2712031304836273,0,0,0,0,0,0,0.625,0,0.6640620231628418,0,0,0.6171879768371582,0.65625,0,0,0,0
Ascender,0.6521493792533875,0,0,0,0,0,0,0.120531253516674,0,0.3252812623977661,0,0,0.7619067430496216,0.8040317296981812,0,0,0,0
Balaphonic,0.4451406300067902,0,0,0,0,0,0,0.625,0,0.6640620231628418,0,0,0.6171879768371582,0.65625,0,0,0,0
Bali,0.8631250262260437,0,0,0,0,0,0,0.5,0,0.53125,0,0,0.5546879768371582,0.5859379768371582,0,0,0,0
Barred,0.6681562066078186,0,0,0,0,0,0,0.4955937564373016,0,0.4966875016689301,0,1,0.602218747138977,0.5900312662124634,0,0,0,0
Barrier,0.5,0,0,0,0,0,0.6328120231628418,0.4921880066394806,0.5625,0.640625,0.5703120231628418,0.5078120231628418,0.53125,0.53125,0,0,0,0
BarryPluck,0.193124994635582,0,0,0,0,0,0,0.625,0,0.6640620231628418,0,0,0.6171879768371582,0.65625,0,0,0,0
Bee Organ,0.4198749959468842,0,0,0,0,0,0,0.625,0,0.6640620231628418,0,0,0.6171879768371582,0.65625,0,0,0,0
Begin,0.8793399333953857,0,0,0,0,0,0,0.5,0,0.53125,0,0,0.5546879768371582,0.5859379768371582,0,0,0,0
Bell,0.8631250262260437,0,0,0,0,0,0,0.5,0,0.53125,0,0,0.5546879768371582,0.5859379768371582,0,0,0,0
Belluron,0.6521493792533875,0,0,0,0,0,0,0.120531253516674,0,0.3252812623977661,0,0,0.7619067430496216,0.8040317296981812,0,0,0,0
Boudystreik,0.4994687438011169,0,0,0,0,0,0,0.5,0,0.53125,0,0,0.5546879768371582,0.5859379768371582,0,0,0,0
Bow,1,0,0,0,0,0,0,0.5,0,0.53125,0,0,0.5546879768371582,0.5859379768371582,0,0,0,0
Boxer,0.8631250262260437,0,0,0,0,0,0,0.5,0,0.53125,0,0,0.5546879768371582,0.5859379768371582,0,0,0,0
Chaser,0.9722500443458557,0,0,0,0,0,0,0.5,0,0.53125,0,0,0.5546879768371582,0.5859379768371582,0,0,0,0
Christa,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
Cine Choir,0.5576719045639038,0,0,0,0,0,0,0.5,0,0.53125,0,0,0.5546879768371582,0.5859379768371582,0,0,0,0
Cine Flute,0.8631250262260437,0,0,0,0,0,0,0.5,0,0.53125,0,0,0.5546879768371582,0.5859379768371582,0,0,0,0
Claw,0.5,0,0,0,0,0,0.6328120231628418,0.4921880066394806,0.5625,0.640625,0.5703120231628418,0.5078120231628418,0.53125,0.53125,0,0,0,0
Clean,0.4994687438011169,0,0,0,0,0,0,0.5,0,0.53125,0,0,0.5546879768371582,0.5859379768371582,0,0,0,0
Coins,0.6521493792533875,0,0,0,0,0,0,0.120531253516674,0,0.3252812623977661,0,0,0.7619067430496216,0.8040317296981812,0,0,0,0
Compost,1,0,0,0,0,0,0,0.625,0,0.6640620231628418,0,0,0.6171879768371582,0.65625,0,0,0,0
Cortado,0.5,0,0,0,0,0,0,0.625,0,0.6640620231628418,0,0,0.6171879768371582,0.65625,2,0,0,0
Cruth,0.6521493792533875,0,0,0,0,0,0,0.120531253516674,0,0.3252812623977661,0,0,0.7619067430496216,0.8040317296981812,0,0,0,0
D55,0.8815781474113464,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
Dark Matter,0.5,0,0,0,0,0,0.6328120231628418,0.4921880066394806,0.5625,0.640625,0.5703120231628418,0.5078120231628418,0.53125,0.53125,0,0,0,0
Darpa,0.8043283224105835,0,0,0,0,0,0,0.5,0,0.53125,0,0,0.5546879768371582,0.5859379768371582,0,0,0,0
Deepcarve,0.5307343602180481,0,0,0,0,0,0,0.4955937564373016,0,0.4966875016689301,0,1,0.602218747138977,0.5900312662124634,0,0,0,0
Dogshort,0.5307343602180481,0,0,0,0,0,0,0.4955937564373016,0,0.4966875016689301,0,1,0.602218747138977,0.5900312662124634,0,0,0,0
Doo,0.7994531393051147,0,0,0,0,0,0,0.625,0,0.6640620231628418,0,0,0.6171879768371582,0.65625,2,0,0,0
Dooo,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
Down,0.2827014625072479,0,0,0,0,0,0,0.5,0,0.53125,0,0,0.5546879768371582,0.5859379768371582,0,0,0,0
Dreams,0.8589843511581421,0,0,0,0,0,0,0.5,0,0.53125,0,0,0.5546879768371582,0.5859379768371582,0,0,0,0
Drop,0.3861635029315948,0,0,0,0,0,0,0.5,0,0.53125,0,0,0.5546879768371582,0.5859379768371582,0,0,0,0
Droplet,0.5,0,0,0,0,0,0,0.5,0,0.53125,0,0,0.5546879768371582,0.5859379768371582,0,0,0,0
Eardrop,0.5,0,0,0,0,0,0,0.5,0,0.53125,0,0,0.5546879768371582,0.5859379768371582,0,0,0,0
Eclipse,0.7511875033378601,0,0,0,0,0,0.6328120231628418,0.4921880066394806,0.5625,0.640625,0.5703120231628418,0.5078120231628418,0.53125,0.53125,0,0,0,0
Elfin,0,0,0,0,0,0,0,0.625,0,0.6640620231628418,0,0,0.6171879768371582,0.65625,0,0,0,0
Exo,0.5,0,0,0,0,0,0.6328120231628418,0.4921880066394806,0.5625,0.640625,0.5703120231628418,0.5078120231628418,0.53125,0.53125,0,0,0,0
Eye,0.5,0,0,0,0,0,0.6328120231628418,0.4921880066394806,0.5625,0.640625,0.5703120231628418,0.5078120231628418,0.53125,0.53125,0,0,0,0
Fairy Dust,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
Fanhumm,0.9723437428474426,0,0,0,0,0,0,0.625,0,0.6640620231628418,0,0,0.6171879768371582,0.65625,0,0,0,0
Final,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
Finalised,0.5307343602180481,0,0,0,0,0,0,0.4955937564373016,0,0.4966875016689301,0,1,0.602218747138977,0.5900312662124634,0,0,0,0
Flare,0.7285468578338623,0.01296824309974909,0,0,0,0,0.007656250149011612,0.6178125143051147,0,0.6285937428474426,0.004625000059604645,0,0.6169062256813049,0.6054999828338623,1,-0.0005624999757856131,0.005249999929219484,-0.004250000230967999
Fludde,0,0,0,0,0,0,0,0.625,0,0.6640620231628418,0,0,0.6171879768371582,0.65625,0,0,0,0
Fluzzy,1,0,0,0,0,0,0,0.625,0,0.6640620231628418,0,0,0.6171879768371582,0.65625,2,0,0,0
Free Lunch,0.5,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
Frog Prince,0.8217187523841858,0,0,0,0,0,0,0.5758749842643738,0,0.5585312247276306,0,0,0.6641255021095276,0.7113129496574402,0,0,0,0
Full,0.501703143119812,0,0,0,0,0,0,0.5,0,1,0,0,0.5546879768371582,1,0,0,0,0
Fury Drone,0.8631250262260437,0,0,0,0,0,0,0.5,0,0.53125,0,0,0.5546879768371582,0.5859379768371582,0,0,0,0
Gather,0.6620469093322754,0,0,0,0,0,0,0.5,0,0.53125,0,0,0.5546879768371582,0.5859379768371582,0,0,0,0
Giraffe,0.5307343602180481,0,0,0,0,0,0,0.4955937564373016,0,0.4966875016689301,0,1,0.602218747138977,0.5900312662124634,0,0,0,0
Glassical,1,0,0,0,0,0,-0.9212812781333923,0.625,0,0.6640620231628418,0,0,0.6171879768371582,0.65625,2,0,0,0
Glock,1,0,0,0,0,0,0,0.625,0,0.6640620231628418,0,0,0.6171879768371582,0.65625,0,0,0,0
Gnomes,0.5047812461853027,0,0,0,0,0,0,0,0,0,0,0,0.4955312609672546,0.4990000128746033,0,0,0,0
Gnomey,0.193124994635582,0,0,0,0,0,0,0.625,0,0.6640620231628418,0,0,0.6171879768371582,0.65625,0,0,0,0
Grainy,0.6521493792533875,0,0,0,0,0,0,0.120531253516674,0,0.3252812623977661,0,0,0.7619067430496216,0.8040317296981812,0,0,0,0
Gritter,0.5307343602180481,0,0,0,0,0,0,0.4955937564373016,0,0.4966875016689301,0,1,0.602218747138977,0.5900312662124634,0,0,0,0
Harmonic,0.193124994635582,0,0,0,0,0,0,0.625,0,0.6640620231628418,0,0,0.6171879768371582,0.65625,0,0,0,0
Harmonix,1,0,0,0,0,0,0,0.5,0,0.53125,0,0,0.5546879768371582,0.5859379768371582,0,0,0,0
Harpoon,0.8631250262260437,0,0,0,0,0,0,0.5,0,0.53125,0,0,0.5546879768371582,0.5859379768371582,0,0,0,0
HiLo,0.8631250262260437,0,0,0,0,0,0,0.5,0,0.53125,0,0,0.5546879768371582,0.5859379768371582,0,0,0,0
Hoof,0.7061406373977661,0,0,0,0,0,0.6328120231628418,0.4921880066394806,0.5625,0.640625,0.5703120231628418,0.5078120231628418,0.53125,0.53125,0,0,0,0
