Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
Bee,0.4274062812328339,0,0,0,0.003343750024214387,0,0,0,0,0,0,0,0,0,0,1,0,0.390812486410141
Breathe,0.493953138589859,0,0,0,0.003343750024214387,0,0,0,0,0,0,0,0,0,0,1,0,0.390812486410141
Broken,1,0,0,0,0.003343750024214387,0,0,0,0,0,0,0,0,0,0,1,0,0.390812486410141
Clear,0.6806250214576721,0,0,0,0.003343750024214387,0,0,0,0,0,0,0,0,0,0,1,0,0.390812486410141
Disaster,0.8026250004768372,0,0,0,0.003343750024214387,0,0,0,0,0,0,0,0,0,0,1,0,0.390812486410141
Drift,0.80657958984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.003326171776279807
Higher Power,0.2256406247615814,0,0,0,0.003343750024214387,0,0,0,0,0,0,0,0,0,0,1,0,0.390812486410141
Malogre,0.52970290184021,0.1578750014305115,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.643750011920929,0.6735619902610779,1
Matter,0.493953138589859,0,0,0,0.003343750024214387,0,0,0,0,0,0,0,0,0,0,1,0,0.390812486410141
Monolead,0.3979843854904175,0,0,0,0.003343750024214387,0,0,0,0,0,0,0,0,0,0,1,0,0.390812486410141
Polarsaw,0.491015613079071,0,0,0,0.003343750024214387,0,0,0,0,0,0,0,0,0,0,1,0,0.390812486410141
Protect,0.491015613079071,0,0,0,0.003343750024214387,0,0,0,0,0,0,0,0,0,0,1,0,0.390812486410141
Rise,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.006847167853266001
Scatter,1,0,0,0,0.003343750024214387,0,0,0,0,0,0,0,0,0,0,1,0,0.390812486410141
Silverlake,0.8392187356948853,0,0,0,0,0,0,0,-0.006843749899417162,0,0,0,0,0,0,1,0,0
Smampsh,0,0,0,0.4197812378406525,-0.4333437383174896,0,0,0,-0.5223749876022339,0,0,0,0,0,1,0.438218742609024,-0.7374380230903625,1
Tape,1,0,0,0,0.003343750024214387,0,0,0,0,0,0,0,0,0,0,1,0,0.390812486410141
Untuned,0.6525624990463257,0,0,0,0.003343750024214387,0,0,0,0,0,0,0,0,0,0,1,0,0.390812486410141
Vaan,1,0,0,0,0.003343750024214387,0,0,0,0,0,0,0,0,0,0,1,0,0.390812486410141
