Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
Allium,0.5,0,0,0,0,0,0.5234379768371582,0.546875,0,0.34375,0.5703120231628418,0,0.5234379768371582,0.4140619933605194,0,0,0,0
Almond,0.5,0,0,0,0,0,0.5234379768371582,0.546875,0,0.34375,0.5703120231628418,0,0.5234379768371582,0.4140619933605194,0,0,0,0
Awake,0.5,0,0,0,0,0,0.5234379768371582,0.546875,0,0.34375,0.5703120231628418,0,0.5234379768371582,0.4140619933605194,0,0,0,0
Bali Drip,0.5,0,0,0,0,0,0.5234379768371582,0.546875,0,0.34375,0.5703120231628418,0,0.5234379768371582,0.4140619933605194,0,0,0,0
Brittle,0.5808437466621399,0,0,0,0,0,0.5234379768371582,0.546875,0,0.34375,0.5703120231628418,0,0.5234379768371582,0.4140619933605194,0,0,0,0
Cassette,0.5,0,0,0,0,0,0.5234379768371582,0.546875,0,0.34375,0.5703120231628418,0,0.5234379768371582,0.4140619933605194,0,0,0,0
Chimer,1,0,0,0,0,0,0.2674379646778107,0.546875,0,0.34375,0.5703120231628418,0,0.5234379768371582,0.4140619933605194,0,0,0,0
Ennio,0.5,0,0,0,0,0,0.5234379768371582,0.546875,0,0.34375,0.5703120231628418,0,0.5234379768371582,0.4140619933605194,0,0,0,0
Eucalyptus,0.5,0,0,0,0,0,0.5234379768371582,0.546875,0,0.34375,0.5703120231628418,0,0.5234379768371582,0.4140619933605194,1,0,0,0
Fresco,0.5684687495231628,0,0,0,0,0,0.5234379768371582,0.546875,0,0.34375,0.5703120231628418,0,0.5234379768371582,0.4140619933605194,0,0,0,0
Haunted,0.5,0,0,0,0,0,0.5234379768371582,0.546875,0,0.34375,0.5703120231628418,0,0.5234379768371582,0.4140619933605194,0,0,0,0
Holons,0.6559374928474426,0,0,0,0,0,0.5234379768371582,0.546875,0,0.34375,0.5703120231628418,0,0.5234379768371582,0.4140619933605194,0,0,0,0
Iceman,0.5,0,0,0,0,0,0.5234379768371582,0.546875,0,0.34375,0.5703120231628418,0,0.5234379768371582,0.4140619933605194,0,0,0,0
Jace,0.5,0,0,0,0,0,0.5234379768371582,0.546875,0,0.34375,0.5703120231628418,0,0.5234379768371582,0.4140619933605194,0,0,0,0
Justme,0.4657031297683716,0,0,0,0,0,0.6328120231628418,0,0,0,0.609375,0,0,0,0,0,0,0
Lathe,0.5,0,0,0,0,0,0.5234379768371582,0.546875,0,0.34375,0.5703120231628418,0,0.5234379768371582,0.4140619933605194,0,0,0,0
Leather,0.5,0,0,0,0,0,0.5234379768371582,0.546875,0,0.34375,0.5703120231628418,0,0.5234379768371582,0.4140619933605194,0,0,0,0
Levy,0.5,0,0,0,0,0,0.5234379768371582,0.546875,0,0.34375,0.5703120231628418,0,0.5234379768371582,0.4140619933605194,0,0,0,0
Lightray,0.785281240940094,0,0,0,0,0,0.5234379768371582,0.546875,0,0.34375,0.5703120231628418,0,0.5234379768371582,0.4140619933605194,0,0,0,0
Lords Keys,0.5,0,0,0,0,0,0.5234379768371582,0.546875,0,0.34375,0.5703120231628418,0,0.5234379768371582,0.4140619933605194,0,0,0,0
Mansion,0.5,0,0,0,0,0,0.5234379768371582,0.546875,0,0.34375,0.5703120231628418,0,0.5234379768371582,0.4140619933605194,0,0,0,0
