Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
2pan,0.8652187585830688,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Accretion,0.5748593807220459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Admosphear,0.5748593807220459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aerpluck,0.5748593807220459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allium,0.9018124938011169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Almond,0.890625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angels,0.508593738079071,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approach,0.6568439602851868,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aprequiema,0.6021872162818909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ascender,0.5748593807220459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Awake,0.890625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balaphonic,0.7040466070175171,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bali,0.8417500257492065,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bali Drip,0.890625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barred,0.8233281373977661,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barrier,0.8861039876937866,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BarryPluck,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bee,0.8331559896469116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bee Organ,0.5081406235694885,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Begin,0.4436958730220795,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bell,0.8417500257492065,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belluron,0.5748593807220459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boudystreik,0.5748593807220459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bow,0.6863594055175781,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boxer,0.8417500257492065,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breathe,0.8331559896469116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brittle,0.7878593802452087,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broken,0.8331559896469116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bubble,0.8923749923706055,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cassette,0.890625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Celli Flautando,0.8515620231628418,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cello Creak,0.8515620231628418,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaser,0.8573905825614929,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chimer,0.7322031259536743,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christa,0.8871718645095825,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cine Choir,0.5748593807220459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cine Flute,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Circuit Dust,0.8291560411453247,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claw,0.8861039876937866,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clean,0.5748593807220459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clear,0.8331559896469116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clunnn,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Coins,0.5748593807220459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compost,0.836312472820282,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cortado,0.8632810115814209,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Cruth,0.5748593807220459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D55,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dark Matter,0.8861039876937866,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darpa,0.9306842684745789,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dead Stringer,0.8291560411453247,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deepcarve,0.8467812538146973,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digisect,0.8515620231628418,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Disaster,0.8331559896469116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dispersal,0.8291559815406799,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dogshort,0.9085937738418579,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doo,0.7040466070175171,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Dooo,0.8871718645095825,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Down,0.7688595652580261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dream,0.8020005226135254,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dreamkiss,0.78125,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Dreams,0.5748593807220459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drift,0.9354333877563477,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drone Zone,0.8331559896469116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drop,0.4824770390987396,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Droplet,0.5748593807220459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eardrop,0.5748593807220459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
