Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
2pan,0.799203634262085,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Accretion,0.5,0,0,0.546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Admosphear,0.5012343525886536,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aerpluck,0.5012343525886536,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allium,0.4497500061988831,0,0,0.7578120231628418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Almond,0.5,0,0,0.7578120231628418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angels,0.3014222979545593,0,0,0.7578120231628418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approach,0.5011208653450012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aprequiema,0.5037968754768372,0,0,0.6310938000679016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ascender,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Awake,0.5,0,0,0.7578120231628418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balaphonic,0.5646098852157593,0,0,0.7578120231628418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bali,0.5,0,0,0.546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bali Drip,0.5,0,0,0.7578120231628418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barred,0.4975000023841858,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barrier,0.419796884059906,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BarryPluck,0.4879535436630249,0,0,0.7578120231628418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bee,0.5006718635559082,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bee Organ,0.5141566395759583,0,0,0.7578120231628418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Begin,0.5005001425743103,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bell,0.5,0,0,0.546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belluron,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boudystreik,0.5012343525886536,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bow,0.4991874992847443,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boxer,0.5,0,0,0.546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breathe,0.826046884059906,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brittle,0.4497500061988831,0,0,0.7578120231628418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broken,0.522937536239624,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bubble,0.5029531121253967,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cassette,0.5,0,0,0.7578120231628418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Celli Flautando,0.5,0,0,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cello Creak,0.5,0,0,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaser,0.5,0,0,0.546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chimer,0,0,0,0.7578120231628418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christa,0.2905937433242798,0,0,0.7578120231628418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cine Choir,0.501828134059906,0,0,0.546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
