Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
Bee,0.8032031655311584,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-0.001625000033527613,0,0.01415625028312206
Breathe,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-0.001625000033527613,0,0.01415625028312206
Broken,0.5618906617164612,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-0.001625000033527613,0,0.01415625028312206
Bubble,0.3706718683242798,0,0,0,0,0,0,0.6852187514305115,0,0.5287812352180481,0,0,0,1,0,0,0,0
Celli Flautando,0.5005937218666077,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Cello Creak,0.5005937218666077,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Circuit Dust,0.5680000185966492,0,0,0,0,0,0.4921880066394806,0.359375,0,0.4140619933605194,0,1,0.6484379768371582,0.34375,0,0,0,0
Clear,0.8032031655311584,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-0.001625000033527613,0,0.01415625028312206
Clunnn,0.6289060115814209,0,0,0,0,0,0,0,0,0,0,0,0.5234379768371582,0.53125,2,0,0,0
Dead Stringer,0.3800000250339508,0,0,0,0,0,0.4921880066394806,0.359375,0,0.4140619933605194,0,1,0.6484379768371582,0.34375,0,0,0,0
Digisect,0.5,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0
Disaster,0.8032031655311584,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-0.001625000033527613,0,0.01415625028312206
Dispersal,0.6200000047683716,0,0,0,0,0,0.4921880066394806,0.359375,0,0.4140619933605194,0,1,0.6484379768371582,0.34375,0,0,0,0
Dream,0.9783915877342224,0,0,0,0,0,0.4921880066394806,0.359375,0,0.4140619933605194,0,1,0.6484379768371582,0.34375,0,0,0,0
Dreamkiss,0.4960939884185791,0,0,0,0,0,0,0,0,0,0,0,0.609375,0.6796879768371582,2,0,0,0
Drift,0.9783915877342224,0,0,0,0,0,0.4921880066394806,0.359375,0,0.4140619933605194,0,1,0.6484379768371582,0.34375,0,0,0,0
Drone Zone,0.5,0,0,0,0,0,0.4921880066394806,0.359375,0,0.4140619933605194,0,1,0.6484379768371582,0.34375,0,0,0,0
Growl,0.5208749175071716,0,0,0,0,0,0,0.6852187514305115,0,0.5287812352180481,0,0,0,1,0,0,0,0
Heaven Sent,0.5,0,0,0,0,0,0.4921880066394806,0.359375,0,0.4140619933605194,0,1,0.6484379768371582,0.34375,0,0,0,0
