Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
2pan,0.4773281216621399,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,-0.7240937352180481,-0.4609380066394806,1
Allium,0.296875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Almond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Angels,0.4272187352180481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4609380066394806,1
Awake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Balaphonic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4609380066394806,1
Bali Drip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Barrier,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65625
BarryPluck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4609380066394806,1
Bee Organ,0.7019999623298645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4609380066394806,1
Brittle,0.296875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bubble,0.3090468645095825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cassette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Chimer,0.296875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Christa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003593243425711989,1
Claw,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65625
Compost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4609380066394806,1
Cortado,0.5039060115814209,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-0.4609380066394806,1
D55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4609380066394806,1
Dark Matter,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65625
Doo,0.8635779023170471,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-0.4609380066394806,1
Dooo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001093243365176022,1
Eclipse,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65625
Elfin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4609380066394806,1
Ennio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Eucalyptus,0.2316406220197678,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Exo,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65625
Eye,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65625
Fairy Dust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4609380066394806,1
Fanhumm,0.701828122138977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.768499493598938,0.7836562395095825
Flare,0.5039060115814209,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4609380066394806,1
Fludde,0.267578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4609380066394806,1
Flutter,0.1961406320333481,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.2417187541723251,-0.8598442673683167,0.9005312323570251
Fluzzy,0.8635779023170471,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.6806250214576721,-0.4609380066394806,1
Fresco,0.296875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Glassical,0.252671867609024,0,0,0,0,0,0,0,0,0,0,-0.2966562509536743,0,0,2,0.7333750128746033,0.5483750104904175,1
Glock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4609380066394806,1
Gnomey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4609380066394806,1
Growl,0.6642656326293945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Harmonic,0.3928281366825104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4609380066394806,1
Haunted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
High,0.3090468645095825,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
Holons,0.296875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hoof,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65625
Hook,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65625
Hopes,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65625
Iceman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Jace,0.2599374949932098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Jaw,0.2984375059604645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65625
Justme,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kino,0.6169062852859497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00884324312210083,1
Knife,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65625
Lathe,0.296875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Launch,0.5039060115814209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4609380066394806,1
Leash,0.7476875185966492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65625
Leather,0.2599374949932098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Levy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lichen,0.5118593573570251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0584380067884922,1
Liedertafel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01128074340522289,1
Lifting,0.5117966532707214,0,0,0,0,0,0,-0.2653749883174896,0.5227187275886536,0,0,0,0,0,1,0,-0.4609380066394806,0.8640000224113464
Lightray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Looped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lords Keys,0.2599374949932098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Low,0.3090468645095825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MagicGuitar,1,0,0,-0.008000006899237633,-0.00800000037997961,0,-0.0267500001937151,0,-0.0560000017285347,-0.04887500032782555,1,0,0.03999999910593033,0,0,0.00800000037997961,-0.00800000037997961,1
Majest,0.8635779023170471,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-0.4609380066394806,1
Mansion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mister Gnomer,0.1403749734163284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4609380066394806,1
MusicBoxer,0.496874988079071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NHK Harp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01574949361383915,1
Naive,0.296875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nebula,0.5039060115814209,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4609380066394806,1
Nose,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65625
Odd Potion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OldSkooled,0.496874988079071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Orange Blip,0.2599374949932098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Oregon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.425664029549807e-05,1
OrganCrackle,0.3043749928474426,-0.1280000060796738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02400000020861626,1
Orion,0.2599374949932098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
