Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
2pan,0.01809374988079071,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Accretion,0.3063906133174896,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Admosphear,0.4195781350135803,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Aerpluck,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Allium,0.3515619933605194,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Almond,0.4809838831424713,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Angels,0.1659843772649765,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Approach,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Aprequiema,0.8069999814033508,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ascender,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Awake,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Balaphonic,0.01809374988079071,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bali,0.4359999895095825,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bali Drip,0.6816093921661377,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Barred,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Barrier,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BarryPluck,0.3061562478542328,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bee,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bee Organ,0.1669687479734421,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Begin,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bell,0.2434062510728836,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Belluron,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Boudystreik,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bow,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Boxer,0.7120000123977661,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Breathe,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Brittle,0.3515619933605194,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Broken,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bubble,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cassette,0.3637656271457672,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Celli Flautando,0.1583281308412552,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cello Creak,0.1583281308412552,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chaser,0.1376093626022339,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chimer,0.1159999966621399,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Christa,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cine Choir,0.3655000030994415,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cine Flute,0.1864999979734421,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Circuit Dust,0.9679999947547913,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Claw,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Clean,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Clear,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Clunnn,0.2337290048599243,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
Coins,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Compost,0.3901406228542328,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cortado,0.09256249666213989,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
Cruth,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
D55,0.4186093807220459,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dark Matter,0.3242189884185791,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Darpa,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dead Stringer,0.9679999947547913,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Deepcarve,0.1694687455892563,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Digisect,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
Disaster,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dispersal,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dogshort,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Doo,0.04992187395691872,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
Dooo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Down,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dream,0.4965601861476898,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dreamkiss,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
Dreams,0.1976093798875809,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Drift,0.427722156047821,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Drone Zone,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Drop,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Droplet,0.2837187647819519,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Eardrop,0.3655000030994415,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Eclipse,0.1870314925909042,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Elfin,0.228218749165535,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ennio,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Eucalyptus,0.215577632188797,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Exo,0.09196875244379044,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Eye,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fairy Dust,0.4013593792915344,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fanhumm,0.001234375056810677,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Final,0.3282656371593475,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Finalised,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Flare,0.1627656221389771,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Fludde,0.07109375298023224,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Flutter,0.1512500047683716,0,0,0,0,1,0,0,0.6479374766349792,0,0,0.6169687509536743,0,0,2,0,0,0
Fluzzy,0.04992187395691872,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
Free Lunch,0.1492343842983246,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fresco,0.3515619933605194,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Frog Prince,0.2273750007152557,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Full,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fury Drone,0.2434062510728836,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gather,0.4926875233650208,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Giraffe,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Glassical,0.01809374988079071,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
Glock,0.3901406228542328,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gnomes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gnomey,0.3901406228542328,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Grainy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gritter,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Growl,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Harmonic,0.3901406228542328,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Harmonix,0.3206406235694885,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Harpoon,0.1067031398415565,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Haunted,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Heaven Sent,0.828000009059906,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HiLo,0.4720000028610229,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
High,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
Higher Power,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Holons,0.3515619933605194,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hoof,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hook,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hopes,0.3242189884185791,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ice Cube,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Iceman,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jace,0.2798906266689301,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jaw,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Justme,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Keys,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kick,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kino,0.5004374980926514,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Knife,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kyoto,0.9639999866485596,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Landed,0.3075000047683716,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lathe,0.3515619933605194,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Launch,0.09256249666213989,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Leap,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Leash,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Leather,0.3637656271457672,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Levy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lichen,0.09712500870227814,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Liedertafel,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lift,0.4423936903476715,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lifting,0.04992187395691872,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Lightray,0.156811997294426,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Listen,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Long Bell,0.1920000016689301,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Looped,0.6312656402587891,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lords Keys,0.1152499988675117,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Low,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MagicGuitar,0.4557499885559082,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Majest,0.0671093761920929,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
Major,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Major Perc,0.4160000085830688,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Malogre,0.04992187395691872,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mansion,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Marim,0.527999997138977,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mating Call,0.1994218826293945,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Matter,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Me Three,0.08100000023841858,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mello Bell,0.2280000001192093,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mellower,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Minor,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Minor Perc,0.2440000027418137,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mister Gnomer,0.2726249992847443,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Monolead,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MusicBoxer,0.08799999952316284,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NHK Harp,0.07523437589406967,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Naive,0.3515619933605194,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nebula,0.09256249666213989,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Nobleman,0.6393125057220459,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nose,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Odd Potion,0.2464687526226044,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OldSkooled,0.2360000014305115,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Opener,0.3701718747615814,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Orange Blip,0.3027963936328888,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OrganCrackle,0.375187486410141,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Organica,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Orion,0.3637656271457672,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Oscar,0.2295937538146973,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Oscilloplex,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Owpanstrum,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pad,0.6312656402587891,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pagan,0.3497812449932098,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Palm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pantastic,0.1040000021457672,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Perco,0.3840000033378601,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Persist,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Petals,0.3515619933605194,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
