Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
Allium,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Almond,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Awake,0.9100000262260437,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Bali Drip,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Barrier,0.9094893932342529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Bee,1,0,0,0,0,0,0,1,0.5395625233650208,0.8233437538146973,-0.00746928108856082,0.01084375008940697,0,0,0,0,0.715499997138977,0
Breathe,1,0,0,0,0,0,0,1,0.5395625233650208,0.8233437538146973,-0.00746928108856082,0.01084375008940697,0,0,0,0,0.715499997138977,0
Brittle,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Broken,1,0,0,0,0,0,0,1,-0.09812500327825546,0.8233437538146973,-0.00746928108856082,0,0,0,0,0,0,0
Cassette,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Chimer,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Circuit Dust,0.4720000028610229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
Claw,0.9014737606048584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Clear,1,0,0,0,0,0,0,1,0.5395625233650208,0.8233437538146973,-0.00746928108856082,0.01084375008940697,0,0,0,0,0,0
Dark Matter,0.6735050082206726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Dead Stringer,0.335999995470047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
Disaster,1,0,0,0,0,0,0,1,0.5395625233650208,0.8233437538146973,-0.00746928108856082,0.01084375008940697,0,0,0,0,0,0
Dispersal,0.656000018119812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
Dream,0.513757586479187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
Dreams,0.638921856880188,0,0,0,0.001281250035390258,0,0,0,0,0,0,0,0,0,0,0,1,0
Drone Zone,0.6800000071525574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
Droplet,0.7165625095367432,0,0,0,-0.002937499899417162,0,0,0,0,0,0,0,0,0,0,0,0.696093738079071,0
Eclipse,0.6735050082206726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Ennio,0.9100000262260437,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Eucalyptus,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.5078120231628418,0,0
Exo,0.6735050082206726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Eye,0.6735050082206726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Final,0.7233281135559082,0,0,0,-0.001000000047497451,0,0,0,0,0,0,0,0,0,0,0,1,0
Flare,0,0,0,0,0,0,1,1,-1,-1,1,-1,1,-1,1,0,0,0
Free Lunch,0.5,0,0,0,-0.000750000006519258,0,0,0,0,0,0,0,0,0,0,0,1,0
Fresco,0.05178124830126762,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Frog Prince,0.6125156283378601,0,0,0,-0.00353124993853271,0,0,0,0,0,0,0,0,0,0,0,1,0
Haunted,0.9100000262260437,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Heaven Sent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
Higher Power,1,0,0,0,0,0,0,1,0.5395625233650208,0.8233437538146973,-0.00746928108856082,0.01084375008940697,0,0,0,0,0,0
Holons,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Hoof,0.6735050082206726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Hook,0.6735050082206726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Hopes,0.6735050082206726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Iceman,0.9100000262260437,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Jace,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Jaw,0.5908800363540649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Justme,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53125,0
Knife,0.568098783493042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Kyoto,0.8040000200271606,0,0,0,0,0,0.4720000028610229,0.3519999980926514,0.7519999742507935,0,-0.4399999976158142,0.5040000081062317,0.4880000054836273,0.1679999977350235,0,1,0.6320000290870667,-1
Lathe,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Launch,0.4977656304836273,0,0,0,0,0,-1,0.9332500100135803,1,1,-1,0,1,1,0,-1,0.03346874937415123,0
Leash,0.7072862386703491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Leather,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Levy,0.9100000262260437,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Lightray,0.4425312578678131,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Lords Keys,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Mansion,0.9100000262260437,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Mating Call,0.5022656321525574,0,0,0,0.002031249925494194,0,0,0,0,0,0,0,0,0,0,0,1,0
Matter,1,0,0,0,0,0,0,1,0.5395625233650208,0.8233437538146973,-0.00746928108856082,0.01084375008940697,0,0,0,0,0.715499997138977,0
Mellower,0.656000018119812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
Monolead,0,0,0,0,0,0,0,1,-1,0.8233437538146973,-0.00746928108856082,0,0,0,0,0,0,0
MusicBoxer,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Naive,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Nebula,0.4843593835830688,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0
Nose,0.6735050082206726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Odd Potion,0.9100000262260437,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
OldSkooled,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Orange Blip,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Organica,0.7080000042915344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
Orion,0.2174531221389771,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Pagan,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Pantastic,0.7080000042915344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
Perco,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Petals,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Pianabot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.71875,0
Polarsaw,0.8608281016349792,0,0,0,0,0,0,1,-1,0.8233437538146973,-0.00746928108856082,0,0,0,0,0,0,0
Prayer,0.9100000262260437,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Protect,0.8608281016349792,0,0,0,0,0,0,1,-1,0.8233437538146973,-0.00746928108856082,0,0,0,0,0,0,0
Pulsar,0.6735050082206726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Purist,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
RawWave,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Reed,0.6778750419616699,0,0,0,-0.004781249910593033,0,0,0,0,0,0,0,0,0,0,0,1,0
Reveal,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Scatter,1,0,0,0,0,0,0,1,0.5395625233650208,0.8233437538146973,-0.00746928108856082,0.01084375008940697,0,0,0,0,0.715499997138977,0
Selectaaa,0.7080000042915344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
Sevenths,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
SimpleDist,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Sine Out,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
SineSquare,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Sky Boarder,0.5423309803009033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
Spector,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Spooksss,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Spring,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Sternum,0.8510831594467163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Stick,0.7718750238418579,0,0,0,0.002125000115483999,0,0,0,0,0,0,0,0,0,0,0,1,0
Strides,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Strip,0.354330986738205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
Surface,0.8618437647819519,0,0,0,-0.001718751504085958,0,0,0,0,0,0,0,0,0,0,0,1,0
Tail,0.6735050082206726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Tape,0.8747344017028809,0,0,0,0,0,0,1,0.5395625233650208,0.8233437538146973,-0.00746928108856082,0.01084375008940697,0,0,0,0,0.715499997138977,0
Terraform,0.6735050082206726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
ThreeTone,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Transmute,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Tronic,0.9100000262260437,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
UnderWater,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5078120231628418,0,0
Untuned,0.2148593813180923,0,0,0,0,0,0,1,0.5395625233650208,0.8233437538146973,-0.00746928108856082,0.01084375008940697,0,0,0,0,0.715499997138977,0
