Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
2pan,0.4096249938011169,0.1953119933605194,0,0,0,0,0,0,0,0,0,0.5759687423706055,0,0,1,0.8817499876022339,-1,0
Accretion,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Admosphear,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Aerpluck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Allium,0.5117189884185791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671875,0.3828119933605194,0
Almond,0.9385002255439758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671875,0.3828119933605194,0
Angels,0.915765643119812,0.1953119933605194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671875,0,0
Approach,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765500009059906,0,0
Aprequiema,0.5350781083106995,0.1953119933605194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671875,0,0
Ascender,0.9197707176208496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Awake,0.5117189884185791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671875,0.3828119933605194,0
Balaphonic,1,0.1953119933605194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671875,0,0
Bali,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4079999923706055,1
Bali Drip,0.5117189884185791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671875,0.3828119933605194,0
Barred,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Barrier,0.3525312542915344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BarryPluck,0.6359218955039978,0.1953119933605194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671875,0,0
Bee Organ,0.8269374966621399,0.1953119933605194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671875,0,0
Begin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bell,0.7277812361717224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Belluron,0.9197707176208496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Boudystreik,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Boxer,0.5799999833106995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.119999997317791,1
Brittle,0.5117189884185791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671875,0.3828119933605194,0
Bubble,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cassette,0.5117189884185791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671875,0.3828119933605194,0
Celli Flautando,1,0.1796880066394806,0,0,0,0,0,0,0,0,0,0,0,0,0,0.828125,0,1
Cello Creak,1,0.1796880066394806,0,0,0,0,0,0,0,0,0,0,0,0,0,0.828125,0,1
Chaser,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Chimer,0.4959999918937683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671875,0.3828119933605194,0
Christa,1,-0.008750506676733494,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cine Choir,0.4466406106948853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cine Flute,0.7277812361717224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Claw,0.2785624861717224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Clean,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Clunnn,0,0.1484380066394806,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8203120231628418,0,0
Coins,0.9197707176208496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
