Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
2pan,0.144171878695488,0,0.7555000185966492,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Accretion,0.4958750009536743,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Admosphear,0.4958750009536743,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aerpluck,0.4958750009536743,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allium,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Almond,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angels,0.4960629940032959,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approach,0.5293304920196533,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aprequiema,0.5034531354904175,0,0.8767812848091125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ascender,0.4958750009536743,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Awake,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balaphonic,0.4960629940032959,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bali,0.5004531145095825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bali Drip,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barred,0.4952343702316284,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barrier,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BarryPluck,0.4960629940032959,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bee,0.50390625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bee Organ,0.4960629940032959,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Begin,0.4952048361301422,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bell,0.5004531145095825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belluron,0.4958750009536743,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boudystreik,0.4958750009536743,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bow,0.4958750009536743,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boxer,0.5004531145095825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breathe,0.50390625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brittle,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broken,0.50390625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bubble,0.4966562390327454,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cassette,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Celli Flautando,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cello Creak,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaser,0.4994218647480011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chimer,0.4959999918937683,0,0,0.7578120231628418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christa,0.4938442409038544,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cine Choir,0.4958750009536743,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cine Flute,0.5004531145095825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Circuit Dust,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claw,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clean,0.4958750009536743,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clear,0.50390625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clunnn,0.5009612441062927,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Coins,0.4958750009536743,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compost,0.4960629940032959,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cortado,0.4960629940032959,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Cruth,0.4958750009536743,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D55,0.4938442409038544,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dark Matter,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darpa,0.5004531145095825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dead Stringer,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deepcarve,0.4952343702316284,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digisect,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Disaster,0.50390625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dispersal,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dogshort,0.4952343702316284,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doo,0.4960629940032959,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Dooo,0.4938442409038544,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Down,0.5004531145095825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dream,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dreamkiss,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Dreams,0.4958750009536743,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drift,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drone Zone,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drop,0.4958750009536743,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Droplet,0.4958750009536743,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eardrop,0.4958750009536743,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eclipse,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elfin,0.4960629940032959,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ennio,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eucalyptus,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Exo,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eye,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fairy Dust,0.4938442409038544,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fanhumm,1,0.005562500096857548,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.08903124928474426,0,0
Final,0.4958750009536743,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finalised,0.4952343702316284,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flare,0.4960629940032959,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fludde,0.4938442409038544,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluzzy,0.4960629940032959,0,1,0.2699062526226044,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Free Lunch,0.4958750009536743,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fresco,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frog Prince,0.4958750009536743,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Full,0.4982656240463257,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
